"file","line","class_initial","class_final","reason","button_within_div"
"src/app/bootstrap/LawyerDashboardStemInstantBridge.tsx","25","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/bootstrap/LawyerDashboardStemInstantBridge.tsx","31","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminHeadquartersAccess.tsx","65","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminHeadquartersAccess.tsx","74","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminHeadquartersAccess.tsx","112","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminHeadquartersAccess.tsx","119","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminHeadquartersAccess.tsx","120","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminHeadquartersAccess.tsx","157","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","94","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","110","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","111","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","112","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","184","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","209","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","234","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","258","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","263","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","386","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","387","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","406","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","431","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","435","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","442","","","initial preserved (no marker)","has_button_toggle_or_switch_inside"
"                                                'inline-flex items-center gap-1 rounded-lg border';","","","","initial preserved (no marker)",""
"              '","false","","","initial preserved (no marker)",""
"src/app/components/admin/AdminLawEntry.tsx","518","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","519","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","534","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","539","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","540","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","551","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","582","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","602","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","609","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawEntry.tsx","660","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","668","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","669","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","693","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawEntry.tsx","731","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","143","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","144","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","145","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","149","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","176","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","200","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","201","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","226","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","227","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/AdminLawyerVerificationRequests.tsx","269","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/blankDocumentSurface.tsx","40","NEEDS-REVIEW-action-missing-semantics","NEEDS-REVIEW-action-missing-semantics","initial preserved (no marker)",""
"src/app/components/admin/HeadquartersPanel.tsx","286","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersPanel.tsx","287","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersPanel.tsx","288","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersPanel.tsx","292","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper","has_button_toggle_or_switch_inside"
"src/app/components/admin/HeadquartersPanel.tsx","332","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","358","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","388","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","389","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","424","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","441","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","455","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","456","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","559","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","582","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersPanel.tsx","584","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersUserActivity.tsx","21","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
"src/app/components/admin/HeadquartersUserActivity.tsx","22","SAFE-presentation-wrapper","SAFE-presentation-wrapper","no interactive attrs; static layout wrapper",""
