"file","line","type","snippet_60chars","is_production_file"
"src/app/components/lawyer/CommunityScreen/legalRepositoryCloudSync.ts","40","throw-generic","throw new Error('cloud-failed');","TRUE"
"src/app/components/lawyer/CommunityScreen/legalRepositoryCloudSync.ts","43","throw-generic","throw new Error('cloud-aborted');","TRUE"
"src/app/components/lawyer/CommunityScreen/repositoryStorageService.ts","118","throw-generic","throw new Error('download-failed');","TRUE"
"src/app/components/lawyer/CommunityScreen/settleIdleChunkPrefetch.ts","43","console:warn","console.warn(`[hami:prefetch] ${label}`; reason);","TRUE"
"src/app/components/lawyer/criminal-system/caseMergeTimeline.ts","121","throw-generic","throw new Error('تعذّر تنفيذ الضم: إضبارة غير موجودة.');","TRUE"
"src/app/components/lawyer/criminal-system/components/OtherEvidenceEntryForm.tsx","36","smell-tag:ToDo","isLinkedToDossier: linkedInput;","TRUE"
"src/app/components/lawyer/criminal-system/components/OtherEvidenceLogCard.tsx","39","smell-tag:ToDo","item.isLinkedToDossier","TRUE"
"src/app/components/lawyer/criminal-system/components/OtherEvidenceLogCard.tsx","44","smell-tag:ToDo","{item.isLinkedToDossier ? 'مرتبط في الإضبارة' : 'غير مرتبط في الإضبارة'}","TRUE"
"src/app/components/lawyer/criminal-system/criminalCaseEvidenceTypes.ts","52","smell-tag:ToDo","isLinkedToDossier: boolean;","TRUE"
"src/app/components/lawyer/criminal-system/criminalDashboardBridgeRuntime.ts","137","console:warn","console.warn('[criminalDashboardBridge] publish failed'; err);","TRUE"
"src/app/components/lawyer/criminal-system/criminalStoreInvestigationActions.ts","102","smell-tag:ToDo","isLinkedToDossier: item.isLinkedToDossier === true;","TRUE"
"src/app/components/lawyer/criminal-system/criminalStoreInvestigationActions.ts","104","smell-tag:ToDo","item.isLinkedToDossier === true && String(item.attachmentDate ?? '').trim()","TRUE"
"src/app/components/lawyer/criminal-system/criminalStoreMergeDraftActions.ts","298","console:warn","console.warn('[criminal] فشل تنظيف أحداث التقويم بعد حذف الإضبارة'; id; err);","TRUE"
"src/app/components/lawyer/criminal-system/criminalStorePersistMigrateNormalizeEvidence.ts","229","smell-tag:ToDo","const isLinkedToDossier = o.isLinkedToDossier === true;","TRUE"
"src/app/components/lawyer/criminal-system/criminalStorePersistMigrateNormalizeEvidence.ts","234","smell-tag:ToDo","isLinkedToDossier;","TRUE"
"src/app/components/lawyer/criminal-system/criminalStorePersistMigrateNormalizeEvidence.ts","235","smell-tag:ToDo","attachmentDate: isLinkedToDossier && attachmentDateRaw ? attachmentDateRaw : und","TRUE"
"src/app/components/lawyer/criminal-system/legalCodes/legalCodesDataCache.ts","82","console:warn","console.warn('[LegalCodes] bundled fallback is present but empty'; {","TRUE"
"src/app/components/lawyer/criminal-system/legalCodes/legalCodesDataCache.ts","87","console:error","console.error('[LegalCodes] bundled fallback failed'; {","TRUE"
"src/app/components/lawyer/criminal-system/legalCodes/legalCodesDataCache.ts","95","console:error","console.error('[LegalCodes] load failed'; {","TRUE"
"src/app/components/lawyer/dashboard/ArchivePortalHost.tsx","139","console:error","console.error('[ArchivePortalHost] execution archive load failed'; error);","TRUE"
"src/app/components/lawyer/dashboard/ArchivePortalHost.tsx","163","console:error","console.error('[ArchivePortalHost] archive module load failed'; error);","TRUE"
