file,line,col,category,message_snippet
src\app\services\vaultUploadService.ts,237,42,throw-prefix-missing,"file too large"
src\app\services\voice\voiceRecordingLimits.ts,51,9,throw-prefix-missing,"VOICE_TOO_LARGE"
src\app\utils\bffAuthClient.ts,115,37,throw-prefix-missing,"Auth service unavailable"
src\app\utils\bundledIraqiLawLoader.ts,77,27,throw-prefix-missing,"fetch failed ${response.status}"
src\app\utils\debug.ts,23,13,console-prod-use,"console.log(...args);"
src\app\utils\debug.ts,29,13,console-prod-use,"console.warn(...args);"
src\app\utils\debug.ts,36,17,console-prod-use,"console.log(...args);"
src\app\utils\debug.ts,40,9,console-prod-use,"console.error(...args);"
src\app\utils\debug.ts,45,13,console-prod-use,"console.info(...args);"
src\app\utils\errorHandler.ts,31,9,console-prod-use,"console.debug('[ErrorHandler] فشل إرسال الخطأ إلى Sentry:', e);"
src\app\utils\errorHandler.ts,48,13,console-prod-use,"console.error(`❌ ${errorMessage}:`, err);"
src\app\utils\errorHandler.ts,50,13,console-prod-use,"console.error('❌ خطأ:', err);"
src\app\utils\errorHandler.ts,69,13,console-prod-use,"console.error(`❌ ${errorMessage}:`, err);"
src\app\utils\errorHandler.ts,71,13,console-prod-use,"console.error('❌ خطأ:', err);"
src\app\utils\errorHandler.ts,169,7,console-prod-use,"console.error('❌ [LocalStorage] الذاكرة ممتلئة - يرجى مسح بعض البيانات');"
src\app\utils\errorHandler.ts,183,9,console-prod-use,"console.error('❌ [LocalStorage] فشلت إعادة المحاولة:', retryError);"
src\app\utils\errorLog.ts,4,5,console-prod-use,"console.error(`❌ [${context}]`, error);"
src\app\utils\errorLog.ts,6,9,console-prod-use,"console.error('التفاصيل:', details);"
src\app\utils\errorLog.ts,16,5,console-prod-use,"console.error(`❌ [${context}]`, {"
src\app\utils\followupSpecializationMerge.ts,11,9,throw-prefix-missing,"mergeFollowupSpecializationFlags requires at least one flags object"
src\app\utils\performanceMonitor.ts,164,9,console-prod-use,"console.log('Total Metrics:', report.metrics.length);"
src\app\utils\performanceMonitor.ts,168,13,console-prod-use,"console.log(`${name}: ${avg.toFixed(2)}ms`);"
src\app\utils\performanceMonitor.ts,175,17,console-prod-use,"console.log(`${i + 1}. ${m.name}: ${m.duration.toFixed(2)}ms`);"
src\app\utils\performanceMonitor.ts,183,17,console-prod-use,"console.log(`${i + 1}. ${m.name}: ${m.duration.toFixed(2)}ms`);"
src\app\utils\production.ts,175,7,console-prod-use,"console.error('[production] client env incomplete:', apiCheck.missing);"
src\app\utils\production.ts,178,46,console-prod-use,"apiCheck.warnings.forEach((warning) => console.warn(warning));"
src\app\utils\production.ts,229,7,console-prod-use,"console.log('✅ تم تفعيل وضع Debug');"
src\app\utils\production.ts,232,7,console-prod-use,"console.log('✅ تم تعطيل وضع Debug');"
src\app\utils\production.ts,235,5,console-prod-use,"console.error('فشل تغيير وضع Debug:', error);"
src\app\utils\storageCache.ts,125,7,console-prod-use,"console.error('[StorageCache] فشل الحفظ في localStorage:', e);"
src\app\utils\storageCache.ts,144,7,console-prod-use,"console.error('[StorageCache] فشل الحذف من localStorage:', e);"
src\app\utils\storageCache.ts,195,7,console-prod-use,"console.error('[StorageCache] فشل القراءة من localStorage:', e);"
src\app\utils\storageCache.ts,215,7,console-prod-use,"console.log(`🧹 [StorageCache] تم تنظيف ${removed} إدخال قديم`);"
src\app\utils\storageUtils.ts,21,17,console-prod-use,"console.error('❌ LocalStorage ممتلئ! لا يمكن الحفظ.', error);"
src\app\utils\storageUtils.ts,23,17,console-prod-use,"console.error('❌ خطأ في حفظ البيانات:', error.message);"
src\app\utils\storageUtils.ts,39,9,console-prod-use,"console.error(`❌ خطأ في قراءة البيانات من ${key}:`, error);"
src\app\utils\storageUtils.ts,53,9,console-prod-use,"console.error(`❌ خطأ في حذف ${key}:`, error);"
src\app\utils\storageUtils.ts,70,9,console-prod-use,"console.error('❌ خطأ في مسح التخزين:', error);"
src\app\utils\storageUtils.ts,117,9,console-prod-use,"console.error('❌ خطأ في الحفظ المجمّع:', error);"
