file,line,col,category,message_snippet
src\app\components\lawyer\CommunityScreen\legalRepositoryCloudSync.ts,40,9,throw-prefix-missing,"cloud-failed"
src\app\components\lawyer\CommunityScreen\legalRepositoryCloudSync.ts,43,9,throw-prefix-missing,"cloud-aborted"
src\app\components\lawyer\CommunityScreen\repositoryStorageService.ts,118,9,throw-prefix-missing,"download-failed"
src\app\components\lawyer\CommunityScreen\settleIdleChunkPrefetch.ts,43,17,console-prod-use,"console.warn(`[hami:prefetch] ${label}`, reason);"
src\app\components\lawyer\criminal-system\criminalDashboardBridgeRuntime.ts,137,21,console-prod-use,"console.warn('[criminalDashboardBridge] publish failed', err);"
src\app\components\lawyer\criminal-system\criminalStoreMergeDraftActions.ts,298,21,console-prod-use,"console.warn('[criminal] فشل تنظيف أحداث التقويم بعد حذف الإضبارة', id, err);"
src\app\components\lawyer\criminal-system\legalCodes\legalCodesDataCache.ts,82,13,console-prod-use,"console.warn('[LegalCodes] bundled fallback is present but empty', {"
src\app\components\lawyer\criminal-system\legalCodes\legalCodesDataCache.ts,87,13,console-prod-use,"console.error('[LegalCodes] bundled fallback failed', {"
src\app\components\lawyer\criminal-system\legalCodes\legalCodesDataCache.ts,95,9,console-prod-use,"console.error('[LegalCodes] load failed', {"
src\app\components\lawyer\dashboard\ArchivePortalHost.tsx,139,25,console-prod-use,"console.error('[ArchivePortalHost] execution archive load failed', error);"
src\app\components\lawyer\dashboard\ArchivePortalHost.tsx,163,25,console-prod-use,"console.error('[ArchivePortalHost] archive module load failed', error);"
src\app\components\lawyer\dashboard\ExecutionDashboardPortal.tsx,16,13,throw-prefix-missing,"[ExecutionDossier] ExecutionDashboard export missing from module"
src\app\components\lawyer\dashboard\ExecutionDashboardPortal.tsx,154,21,console-prod-use,"console.error('[ExecutionDossier] crash:', error);"
src\app\components\lawyer\dashboard\ExecutionDashboardPortal.tsx,155,21,console-prod-use,"console.error('[ExecutionDossier] stack:', errorInfo.componentStack);"
src\app\components\lawyer\dashboard\fieldTasks\FieldTasksManagerHost.tsx,72,25,throw-prefix-missing,"TasksManagerOverlay missing"
src\app\components\lawyer\dashboard\homeLiteErrorBoundary.tsx,20,9,console-prod-use,"console.error(`[${source}] render failed:`, error);"
src\app\components\lawyer\dashboard\SmartFileModalPortal.tsx,104,17,console-prod-use,"console.error('[LawsuitDossier] crash:', error);"
src\app\components\lawyer\dashboard\SmartFileModalPortal.tsx,105,17,console-prod-use,"console.error('[LawsuitDossier] component stack:', errorInfo.componentStack);"
src\app\components\lawyer\dashboard\TasksManager.tsx,126,17,throw-prefix-missing,"NO_USER"
src\app\components\lawyer\dashboard\TasksManager.tsx,139,17,throw-prefix-missing,"CREATE_FAILED"
src\app\components\lawyer\DeferredActiveOrderFile.tsx,102,17,console-prod-use,"console.error('[ActiveOrderFile] render error:', error, info.componentStack);"
src\app\components\lawyer\ExecutionDashboard\followupModalContext.tsx,52,9,throw-prefix-missing,"useFollowupModal must run inside FollowupModalStoreProvider"
src\app\components\lawyer\ExecutionDashboard\hooks\executionDashboardChunkScope.tsx,25,9,throw-prefix-missing,"useExecutionDashboardChunkScopeRef outside ExecutionDashboardChunkScopeProvider"
src\app\components\lawyer\GlobalSearchOverlay\hooks\GlobalSearchRuntimeProvider.tsx,85,9,throw-prefix-missing,"useGlobalSearchRuntime must be used within GlobalSearchRuntimeProvider"
src\app\components\lawyer\RoyalLawyerProfile\components\ProfileSettingsSheetHost.tsx,67,21,throw-prefix-missing,"ProfileSettingsSheet missing"
src\app\components\lawyer\RoyalLawyerProfile\hooks\useProfileStudioCustomizationSave.ts,89,25,throw-prefix-missing,"profile-missing"
src\app\components\lawyer\smart-modal\smartFile\cassationCorrectionTransition.ts,24,9,throw-prefix-missing,"applyCassationCorrectionOpen: cassation stage not found"
src\app\components\lawyer\smart-modal\smartFile\cassationCorrectionTransition.ts,122,9,throw-prefix-missing,"applyCorrectionComplete: correction stage not found"
src\app\components\lawyer\smart-modal\smartFile\cassationCorrectionTransition.ts,150,9,throw-prefix-missing,"applyCorrectionComplete: litigation target stage missing"
src\app\components\lawyer\smart-modal\smartFile\cassationCorrectionTransition.ts,192,9,throw-prefix-missing,"applyCorrectionRejected: correction stage not found"
src\app\components\lawyer\smart-modal\smartFile\cassationRemandTransition.ts,71,9,throw-prefix-missing,"applyCassationRemand: cassation stage not found"
