file,line,has_type,type_value,has_onClick,inside_form_context,class_final,downgrade_reason_or_note,raw_snippet_240chars
"src/app/bootstrap/lawyerAuth/LawyerRegisterCompleteStep.tsx",106,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onGoLogin} disabled={busy} data-testid=""lawyer-register-complete-login"" >"
"src/app/bootstrap/lawyerAuth/LawyerRegisterCredentialsStep.tsx",89,1,"submit",0,1,"B1-SAFE-explicit-type-submit","inside_form=true","<button type=""submit"" disabled={loading} className={authGatePrimaryBtnClass} data-testid=""lawyer-register-credentials-next"" >"
"src/app/bootstrap/lawyerAuth/LawyerRegisterCredentialsStep.tsx",97,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onBack} disabled={loading}>"
"src/app/bootstrap/lawyerAuth/LawyerRegisterFaceStep.tsx",55,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={loading || !faceSelfieDataUrl} className={authGatePrimaryBtnClass} onClick={onSubmitWithFace} data-testid=""lawyer-register-face-submit"" >"
"src/app/bootstrap/lawyerAuth/LawyerRegisterFaceStep.tsx",64,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={loading} className={authGateSecondaryBtnClass} onClick={onSkip} data-testid=""lawyer-register-face-skip"" >"
"src/app/bootstrap/lawyerAuth/LawyerRegisterFaceStep.tsx",73,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onBack} disabled={loading} >"
"src/app/bootstrap/lawyerAuth/LawyerRegisterIdentityStep.tsx",69,1,"submit",0,1,"B1-SAFE-explicit-type-submit","inside_form=true","<button type=""submit"" disabled={loading || !ready} className={authGatePrimaryBtnClass} data-testid=""lawyer-register-identity-next"" >"
"src/app/bootstrap/lawyerAuth/LawyerRegisterIdentityStep.tsx",77,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onBack}>"
"src/app/bootstrap/lawyerAuth/LawyerRegisterProfileStep.tsx",136,1,"submit",0,1,"B1-SAFE-explicit-type-submit","inside_form=true","<button type=""submit"" className={authGatePrimaryBtnClass} data-testid=""lawyer-register-profile-next"" >"
"src/app/bootstrap/lawyerAuth/LawyerRegisterProfileStep.tsx",143,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onBack} disabled={loading} >"
"src/app/bootstrap/lawyerAuth/LawyerSignInForm.tsx",185,1,"submit",0,1,"B1-SAFE-explicit-type-submit","inside_form=true","<button type=""submit"" disabled={loading || resendLoading} className={authGatePrimaryBtnClass} data-testid=""lawyer-sign-in-submit"" >"
"src/app/bootstrap/lawyerAuth/LawyerSignInForm.tsx",193,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={loading || resendLoading} onClick={onForgot} data-testid=""lawyer-sign-in-forgot"" >"
"src/app/bootstrap/lawyerAuth/LawyerSignInForm.tsx",204,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={loading || resendLoading || !email.trim()} onClick={() => setOtpPurpose('email_confirm')} data-testid=""lawyer-sign-in-confirm-otp"" >"
"src/app/bootstrap/lawyerAuth/LawyerSignInForm.tsx",213,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={resendLoading || loading || !email.trim()} onClick={() => void onResendConfirm()} data-testid=""lawyer-sign-in-resend-confirm"" >"
"src/app/bootstrap/lawyerAuth/LawyerSignInForm.tsx",224,1,"button",1,1,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onBack} data-testid=""lawyer-sign-in-back"">"
"src/app/bootstrap/lawyerAuth/LegalTermsConsentGate.tsx",102,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGatePrimaryBtnClass} onClick={() => setView('consent')} data-testid=""legal-terms-reconsider"" >"
"src/app/bootstrap/lawyerAuth/LegalTermsConsentGate.tsx",110,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateSecondaryBtnClass} disabled={exiting} aria-busy={exiting || undefined} onClick={() => void onExit()} data-testid=""legal-terms-exit-app"" >"
"src/app/bootstrap/lawyerAuth/LegalTermsConsentGate.tsx",121,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} disabled={exiting} onClick={onBack} data-testid=""legal-terms-back-choice"" >"
"src/app/bootstrap/lawyerAuth/LegalTermsConsentGate.tsx",168,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGatePrimaryBtnClass} onClick={onAccept} disabled={!canAccept} aria-disabled={!canAccept} data-testid=""legal-terms-accept"" >"
"src/app/bootstrap/lawyerAuth/LegalTermsConsentGate.tsx",178,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onDecline} data-testid=""legal-terms-decline"" >"
"src/app/bootstrap/lawyerAuth/LegalTermsConsentGate.tsx",187,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={onBack} data-testid=""legal-terms-back-choice"" >"
"src/app/bootstrap/LawyerDashboardBootErrorBoundary.tsx",71,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={this.handleRetry} data-testid=""lawyer-dashboard-boot-error-retry"" className=""min-h-[48px] px-8 rounded-2xl bg-[#E6C673]/12 text-[#E6C673] border border-[#E6C673]/25 active:bg-[#E6C673]/20 transition-color"
"src/app/components/admin/AdminHeadquartersAccess.tsx",129,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={onSwitchAccount} className={authGatePrimaryBtnClass} data-testid=""admin-denied-switch-account"" >"
"src/app/components/admin/AdminHeadquartersAccess.tsx",137,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={onBack} className={authGateGhostBtnClass} data-testid=""admin-denied-back"" >"
"src/app/components/admin/AdminHeadquartersAccess.tsx",148,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={authGateGhostBtnClass} onClick={() => setShowDiag((v) => !v)} data-testid=""admin-denied-toggle-diag"" >"
"src/app/components/admin/AdminLawEntry.tsx",113,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => { setActiveDomain(""execution""); setSuccess(null); setError(null); }} disabled={singleLoading || bulkLoading} className={cn( ""rounded-lg px-3 py-2 text-sm font-semibold transition"", activeDomain ==="
